smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
IC(I)I,1,,,,,,test
C[N+](=O)[O-],0,,,,,,train
CC1CO1,0,,,,,,train
C[N+](C)(C)C,0,,,,,,train
CC(C)(C)N,1,,,,,,train
CC(C)(C)O,0,,,,,,valid
CC(C)(O)C#N,1,,,,,,train
CC(=O)C(C)(C)C,1,,,,,,train
CC(C)(C)C(=O)O,0,,,,,,train
CC(Cl)(Cl)C(=O)O,0,,,,,,train
ClC(Cl)C(Cl)(Cl)Cl,1,,,,,,test
O=C(O)C(Cl)(Cl)Cl,0,,,,,,train
O=[N+]([O-])C(Cl)(Cl)Cl,1,,,,,,train
CC12CCC(CC1=O)C2(C)C,0,,,,,,train
CC12CCC(C(Br)C1=O)C2(C)C,1,,,,,,train
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1,,,,,,valid
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1,,,,,,train
CC1(C)C(=O)N(Br)C(=O)N1Br,1,,,,,,train
CC1(C)NC(=O)NC1=O,0,,,,,,train
C1=CC2C3C=CC(C3)C2C1,1,,,,,,train
CCC(C)(O)CC,0,,,,,,test
C#CC(C)(O)CC,0,,,,,,train
COS(=O)(=O)OC,1,,,,,,train
CCC(CO)(CO)CO,0,,,,,,train
C#CC1(O)CCCCC1,0,,,,,,train
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,1,,,,,,valid
CCOP(=O)(OCC)OCC,0,,,,,,train
CCCCSP(=O)(SCCCC)SCCCC,1,,,,,,train
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,1,,,,,,train
CC1=CC(=O)CC(C)(C)C1,0,,,,,,train
C=CC(C)(O)CCC=C(C)C,1,,,,,,test
C=CC(=C)C,1,,,,,,train
CC(C)CO,0,,,,,,train
CC(Cl)CCl,0,,,,,,train
CC(N)CN,0,,,,,,train
CCC(C)O,0,,,,,,valid
CCC(C)=O,0,,,,,,train
CC(O)CN,0,,,,,,train
CC(O)C#N,1,,,,,,train
CCC(Cl)Cl,1,,,,,,train
ClCC(Cl)Cl,1,,,,,,test
ClC=C(Cl)Cl,1,,,,,,train
C=CC(N)=O,0,,,,,,train
CCC(=O)O,1,,,,,,train
C=CC(=O)O,0,,,,,,train
O=C(O)CO,1,,,,,,valid
NNC(N)=S,1,,,,,,train
COC(C)=O,0,,,,,,train
ClC(Cl)C(Cl)Cl,1,,,,,,train
CC(C)[N+](=O)[O-],0,,,,,,train
